,indices,names,party
0,0,Howell Heflin,Democratic
1,1,Richard Shelby,Republican (1994–present)
2,2,Ted Stevens,Republican
3,3,Frank Murkowski,Republican
4,4,Jon Kyl,Republican
5,5,John McCain,Republican
6,6,David Pryor,Democratic
7,7,Dale Bumpers,Democratic
8,8,Dianne Feinstein,Democratic
9,9,Barbara Boxer,Democratic
10,10,Hank Brown,Republican
11,11,Joe Lieberman,Democratic (until 2006)Independent (2006–present)
12,12,Chris Dodd,Democratic
13,13,William Roth,Republican
14,14,Joe Biden,Democratic (1969–present)
15,15,Connie Mack III,Republican
16,16,Bob Graham,Democratic
17,17,Sam Nunn,Democratic
18,18,Paul Coverdell,Republican
19,19,Daniel Akaka,Democratic
20,20,Daniel Inouye,Democratic
21,21,Larry Craig,Republican
22,22,Dirk Kempthorne,Republican
23,23,Paul Simon (politician),Democratic
24,24,Carol Moseley Braun,Democratic
25,25,Richard Lugar,Republican
26,26,Dan Coats,Republican
27,27,Tom Harkin,Democratic
28,28,Chuck Grassley,Republican
29,29,Nancy Kassebaum,Republican
30,30,Bob Dole,Republican
31,31,Sheila Frahm,Republican
32,32,Sam Brownback,Republican
33,33,Mitch McConnell,Republican
34,34,Wendell Ford,Democratic
35,35,J. Bennett Johnston,Democratic
36,36,John Breaux,Democratic
37,37,Olympia Snowe,Republican
38,38,William Cohen,Republican
39,39,Paul Sarbanes,Democratic
40,40,Barbara Mikulski,Democratic
41,41,Ted Kennedy,Democratic
42,42,John Kerry,Democratic
43,43,Spencer Abraham,Republican
44,44,Carl Levin,Democratic
45,45,Rod Grams,Republican
46,46,Trent Lott,Republican (1972–present)
47,47,Thad Cochran,Republican (1967–2019)
48,48,John Ashcroft,Republican
49,49,Kit Bond,Republican
50,50,Conrad Burns,Republican
51,51,Max Baucus,Democratic
52,52,Bob Kerrey,Democratic
53,53,J. James Exon,Democratic
54,54,Richard Bryan,Democratic (1971–present)
55,55,Harry Reid,Democratic
56,56,Bob Smith (New Hampshire politician),"Republican (before 1999, 2000–present)"
57,57,Judd Gregg,Republican
58,58,Frank Lautenberg,Democratic
59,59,Bill Bradley,Democratic
60,60,Jeff Bingaman,Democratic
61,61,Pete Domenici,Republican
62,62,Daniel Patrick Moynihan,Democratic
63,63,Al D'Amato,Republican
64,64,Jesse Helms,Republican (1970–2008)
65,65,Lauch Faircloth,Democratic (1950–1990)Republican (1990–present)
66,66,Mike DeWine,Republican
67,67,John Glenn,Democratic
68,68,Jim Inhofe,Republican
69,69,Don Nickles,Republican
70,70,Mark Hatfield,Republican
71,71,Bob Packwood,Republican
72,72,Ron Wyden,Democratic
73,73,Rick Santorum,Republican
74,74,Arlen Specter,"Democratic (1951–1965, 2009–2012)Republican (1965–2009)"
75,75,John Chafee,Republican
76,76,Claiborne Pell,Democratic
77,77,Strom Thurmond,Democratic (until 1964)Republican (1964–2003)
78,78,Fritz Hollings,Democratic
79,79,Larry Pressler,Independent (2013–present)
80,80,Tom Daschle,Democratic
81,81,Bill Frist,Republican
82,82,Fred Thompson,Republican
83,83,Kay Bailey Hutchison,Republican
84,84,Phil Gramm,Democratic (before 1983)Republican (1983–present)
85,85,Orrin Hatch,Republican
86,86,Bob Bennett (politician),Republican
87,87,Jim Jeffords,Republican (before 2001)Independent (2001–2014)
88,88,Patrick Leahy,Democratic
89,89,Chuck Robb,Democratic
90,90,John Warner,Republican
91,91,Slade Gorton,Republican
92,92,Patty Murray,Democratic
93,93,Robert Byrd,Democratic
94,94,Jay Rockefeller,Democratic (1966–present)
95,95,Herb Kohl,Democratic
96,96,Russ Feingold,Democratic
97,97,Craig L. Thomas,Republican
98,98,Alan Simpson (American politician),Republican
99,99,Sonny Callahan,Democratic (before 1982)Republican (1982–2021)
100,100,Terry Everett,Republican
101,101,Glen Browder,Democratic
102,102,Tom Bevill,Democratic
103,103,Robert E. Cramer,Democratic
104,104,Spencer Bachus,Republican
105,105,Earl Hilliard,Democratic
106,106,Don Young,Republican
107,107,Matt Salmon,Republican
108,108,Ed Pastor,Democratic
109,109,Bob Stump,Democratic (1958–1982)Republican (1982–2003)
110,110,John Shadegg,Republican
111,111,Jim Kolbe,Republican (until 2018)  Independent (2018–present)
112,112,J. D. Hayworth,Republican
113,113,Blanche Lincoln,Democratic
114,114,Ray Thornton,Democratic
115,115,Tim Hutchinson,Republican
116,116,Jay Dickey,Republican
117,117,Frank Riggs,Republican
118,118,Wally Herger,Republican
119,119,Vic Fazio,Democratic
120,120,John Doolittle,Republican
121,121,Bob Matsui,Democratic
122,122,Lynn Woolsey,Democratic
123,123,George Miller (California politician),Democratic
124,124,Nancy Pelosi,Democratic
125,125,Ron Dellums,Democratic
126,126,William P. Baker,Republican
127,127,Richard Pombo,Republican
128,128,Tom Lantos,Democratic
129,129,Pete Stark,Democratic
130,130,Anna Eshoo,Democratic
131,131,Norman Mineta,Democratic
132,132,Tom Campbell (California politician),Common Sense (2020–present)[1]
133,133,Zoe Lofgren,Democratic
134,134,Sam Farr,Democratic
135,135,Gary Condit,Democratic
136,136,George Radanovich,Republican
137,137,Cal Dooley,Democratic
138,138,Bill Thomas,Republican
139,139,Andrea Seastrand,Republican
140,140,Elton Gallegly,Republican
141,141,Anthony Beilenson,Democratic
142,142,Buck McKeon,Republican
143,143,Howard Berman,Democratic
144,144,Carlos Moorhead,Republican
145,145,David Dreier,Republican
146,146,Henry Waxman,Democratic
147,147,Xavier Becerra,Democratic
148,148,Matthew G. Martínez,"Republican (Before 1974, 2000–2011)Democratic (1974–2000)"
149,149,Julian Dixon,Democratic
150,150,Lucille Roybal-Allard,Democratic
151,151,Esteban Edward Torres,Democratic
152,152,Maxine Waters,Democratic
153,153,Jane Harman,Democratic
154,154,Walter R. Tucker III,Democratic
155,155,Juanita Millender-McDonald,Democratic
156,156,Steve Horn,Republican
157,157,Ed Royce,Republican
158,158,Jerry Lewis (California politician),Republican
159,159,Jay Kim,Republican
160,160,George Brown Jr.,Democratic
161,161,Ken Calvert,Republican
162,162,Sonny Bono,Republican
163,163,Dana Rohrabacher,Republican
164,164,Bob Dornan,Republican
165,165,Christopher Cox,Republican
166,166,Ron Packard,Republican
167,167,Brian Bilbray,Republican
168,168,Bob Filner,Democratic
169,169,Duke Cunningham,Republican
170,170,Duncan L. Hunter,Republican
171,171,Pat Schroeder,Democratic
172,172,David Skaggs,Democratic
173,173,Scott McInnis,Republican
174,174,Wayne Allard,Republican
175,175,Joel Hefley,Republican
176,176,Daniel Schaefer,Republican
177,177,Barbara B. Kennelly,Democratic
178,178,Sam Gejdenson,Democratic
179,179,Rosa DeLauro,Democratic
180,180,Chris Shays,Republican
181,181,Gary Franks,Republican
182,182,Nancy Johnson,Republican
183,183,Mike Castle,Republican
184,184,Joe Scarborough,Independent (2017–present)
185,185,Pete Peterson,Democratic
186,186,Corrine Brown,Democratic
187,187,Tillie Fowler,Republican
188,188,Karen Thurman,Democratic
189,189,Cliff Stearns,Republican
190,190,John Mica,Republican
191,191,Bill McCollum,Republican
192,192,Michael Bilirakis,Republican
193,193,Bill Young,Republican
194,194,Sam Gibbons,Democratic
195,195,Charles T. Canady,Republican (1989–present)
196,196,Dan Miller (Florida politician),Republican
197,197,Porter Goss,Republican
198,198,Dave Weldon,Republican
199,199,Mark Foley,Republican
200,200,Carrie Meek,Democratic
201,201,Ileana Ros-Lehtinen,Republican
