,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,751,33,783,189,2,604,386,772,1,606,70,277,904,1334,79,914,1259,1000,86
1,1,1259,877,751,277,1334,386,0,1000,170,282,990,680,904,358,154,783,33,105,585
2,2,42,844,1104,224,27,70,236,537,73,670,1334,916,918,23,41,909,349,794,681
3,3,13,1490,706,205,26,318,579,517,569,910,228,1478,1227,853,1373,261,939,574,21
4,4,651,1077,13,214,937,777,1074,1486,253,695,415,394,1320,133,929,832,319,955,827
5,5,364,169,1335,41,1020,448,916,42,52,844,900,690,2,699,993,27,224,287,780
6,6,684,27,386,731,114,606,2,454,42,73,1334,537,1104,839,29,23,377,613,51
7,7,1052,28,1261,811,80,1242,1086,1307,39,502,1193,812,652,952,419,1037,93,747,882
8,8,1260,881,889,42,839,73,11,1251,58,879,546,1093,1098,652,1107,77,682,756,847
9,9,377,358,879,42,836,536,687,1064,546,27,83,72,1107,796,674,2,656,642,1093
10,10,1469,54,554,439,1484,1349,447,741,1012,492,860,1255,36,568,1343,726,1169,1096,797
11,11,756,42,96,38,732,277,2,537,809,990,395,1334,58,125,344,1103,62,918,55
12,12,42,33,701,990,909,538,55,1105,1104,606,27,73,613,1177,358,72,1295,916,572
13,13,1077,574,929,620,26,1165,398,494,415,133,1110,548,1340,1091,804,1230,1320,118,253
14,14,794,42,701,909,670,1027,248,674,73,916,1105,656,41,364,1282,679,1360,1177,349
15,15,299,1253,666,13,183,875,1074,574,805,1077,1479,841,1008,214,995,464,113,848,423
16,16,282,1017,783,748,189,277,1275,125,604,678,990,79,877,1113,386,25,96,1250,17
17,17,27,224,42,914,1104,990,23,844,2,537,699,81,386,51,33,349,282,73,909
18,18,21,841,398,1365,415,1003,505,1028,1074,50,829,1309,394,661,787,893,635,1241,421
19,19,992,27,218,537,909,42,686,604,349,990,956,879,529,1105,62,1113,591,380,1166
20,20,5,52,364,1020,534,699,169,690,1335,900,1330,448,30,993,2,780,1476,41,837
21,21,26,415,228,398,1028,318,394,13,913,69,635,975,1018,1077,1346,60,261,955,505
22,22,929,13,630,230,597,1077,1028,1486,21,848,253,955,133,26,1110,415,508,620,1043
23,23,914,27,42,2,537,224,844,1104,918,17,904,756,670,1191,1334,222,211,70,637
24,24,1107,1260,77,881,1098,1093,679,641,839,1327,1342,1249,1368,377,688,1064,1352,219,1190
25,25,647,49,79,371,445,90,89,990,604,1125,27,380,170,678,674,386,32,1105,1061
26,26,1486,60,13,231,1340,318,496,1165,1077,21,508,505,975,996,1028,494,1320,574,821
27,27,42,844,990,73,2,537,17,224,349,62,1104,23,879,914,1268,670,699,522,751
28,28,27,522,956,1032,1334,247,1268,914,783,344,471,224,604,450,684,70,1104,577,358
29,29,839,27,879,83,377,73,881,42,921,1064,1327,679,1098,1237,682,898,917,546,1251
30,30,236,993,699,2,41,224,42,916,998,1177,861,904,386,670,732,698,211,120,1335
31,31,74,498,1466,1265,948,803,348,633,324,230,814,1234,1408,1203,1077,69,249,1451,560
32,32,1105,674,565,701,1334,49,1191,670,516,997,73,27,42,1104,1295,844,86,613,2
33,33,282,701,42,606,12,2,783,670,1221,1295,1104,224,82,1334,844,86,732,678,277
34,34,445,25,647,90,371,1020,1228,1170,89,606,780,380,1053,170,78,1317,33,564,302
35,35,89,90,678,1105,865,12,380,844,49,39,604,25,79,879,27,42,990,258,561
36,36,568,648,473,1407,251,797,272,1343,214,1350,788,243,827,278,566,250,721,708,557
37,37,1157,1367,363,1308,1206,1470,1302,976,283,1232,1420,660,1274,171,975,324,820,1181,490
38,38,42,756,2,678,11,918,1104,732,62,55,349,537,277,224,128,1334,990,27,911
39,39,73,42,277,812,96,879,1037,591,537,27,734,1104,990,344,62,747,184,629,877
40,40,1064,688,1351,1140,528,201,1139,377,1135,1368,1381,1257,24,1047,950,911,1107,1249,1384
41,41,42,2,1335,916,224,287,670,291,14,703,5,67,236,909,1104,627,794,364,70
42,42,670,990,73,2,349,909,27,701,224,756,916,1104,794,41,58,358,287,291,236
43,43,299,133,304,496,1223,626,929,1060,777,1028,657,1077,672,1090,297,13,1091,394,26
