,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,93,78,734,70,42,25,47,5,56,88,221,1261,55,79,36,77,629,48,64
1,1,258,385,88,665,997,72,675,28,579,406,290,85,1259,840,536,414,1301,1038,1207
2,2,93,42,78,61,84,5,64,77,429,734,414,106,55,68,70,57,925,1104,938
3,3,698,107,49,70,674,734,106,639,629,511,908,89,533,991,79,606,34,84,55
4,4,258,21,312,913,875,414,88,845,1261,699,1417,47,93,221,734,728,422,680,923
5,5,42,14,84,79,93,265,73,925,94,414,629,604,47,923,395,11,25,844,734
6,6,46,115,35,7,47,734,639,56,480,694,1261,862,36,345,0,117,428,557,1178
7,7,6,557,35,345,734,23,56,46,115,0,480,862,624,42,248,47,606,428,1178
8,8,536,671,887,911,784,997,9,545,1,1251,88,675,552,290,682,72,1190,258,406
9,9,671,730,277,536,8,92,887,1259,406,1251,849,923,994,855,545,684,682,290,575
10,10,62,49,125,160,20,809,32,414,1077,406,916,78,626,678,277,309,94,307,64
11,11,629,911,604,25,674,923,143,42,5,756,79,734,925,285,339,290,1042,703,962
12,12,732,27,674,265,34,606,414,991,626,629,841,604,916,79,675,666,1282,636,648
13,13,74,71,70,93,0,87,502,674,776,719,539,145,1017,383,285,460,670,606,624
14,14,5,42,41,93,73,265,991,79,918,629,1105,680,1248,414,923,451,627,1,734
15,15,697,639,644,973,899,654,674,335,339,285,1053,47,315,312,606,619,765,46,1028
16,16,70,42,674,627,734,844,55,84,991,79,899,912,624,809,1282,501,64,265,923
17,17,42,537,911,923,25,501,94,675,993,844,79,44,1108,604,5,997,346,670,258
18,18,67,674,572,501,47,42,624,70,451,996,591,734,34,777,936,911,732,904,946
19,19,20,421,49,910,699,21,0,307,4,503,93,626,78,258,221,79,107,88,629
20,20,88,25,78,72,414,57,28,93,94,277,258,77,923,626,307,997,629,911,354
21,21,88,699,258,414,936,923,312,865,4,648,996,1036,1068,330,421,604,997,734,47
22,22,511,61,1229,88,414,792,147,923,732,32,604,49,996,842,911,84,189,636,258
23,23,70,46,84,224,318,42,47,5,64,734,79,78,795,56,809,649,674,93,629
